transaction_id,business_id,transaction_date,transaction_type,category,amount,opening_balance,closing_balance,reference_entity,reference_id,description
TXN_00000001,MSME_GJ_0001,2025-08-21 15:08:00,DEBIT,SALARY,1670001.93,3500000.0,1829998.07,EXPENSE,EXP_0000001,NEFT-Monthly employee payroll
TXN_00000002,MSME_GJ_0001,2025-08-23 15:03:00,DEBIT,MAINTENANCE,149986.47,1829998.07,1680011.6,EXPENSE,EXP_0000010,IMPS-Maintenance operational expenditure
TXN_00000003,MSME_GJ_0001,2025-08-25 09:38:00,DEBIT,RAW_MATERIALS,70813.7,1680011.6,1609197.9,EXPENSE,EXP_0000007,RTGS-Operational material procurement
TXN_00000004,MSME_GJ_0001,2025-08-25 15:39:00,DEBIT,RENT,556667.31,1609197.9,1052530.59,EXPENSE,EXP_0000002,NetBanking-Commercial office/warehouse rent
TXN_00000005,MSME_GJ_0001,2025-08-27 16:39:00,DEBIT,MAINTENANCE,120650.35,1052530.59,931880.24,EXPENSE,EXP_0000012,UPI-Maintenance operational expenditure
TXN_00000006,MSME_GJ_0001,2025-08-29 13:09:00,DEBIT,RAW_MATERIALS,1948454.46,931880.24,-1016574.22,EXPENSE,EXP_0000006,RTGS-Operational material procurement
TXN_00000007,MSME_GJ_0001,2025-08-30 10:14:00,DEBIT,RAW_MATERIALS,35371.87,-1016574.22,-1051946.09,EXPENSE,EXP_0000009,Cheque-Operational material procurement
TXN_00000008,MSME_GJ_0001,2025-08-30 11:08:00,DEBIT,UTILITIES,1113334.62,-1051946.09,-2165280.71,EXPENSE,EXP_0000003,UPI-Electricity and water utility charges
TXN_00000009,MSME_GJ_0001,2025-09-07 15:57:00,DEBIT,RAW_MATERIALS,1721249.98,-2165280.71,-3886530.69,EXPENSE,EXP_0000004,NEFT-Operational material procurement
TXN_00000010,MSME_GJ_0001,2025-09-09 11:30:00,DEBIT,MARKETING,672524.09,-3886530.69,-4559054.78,EXPENSE,EXP_0000013,IMPS-Marketing operational expenditure
TXN_00000011,MSME_GJ_0001,2025-09-12 11:11:00,DEBIT,RAW_MATERIALS,166713.59,-4559054.78,-4725768.37,EXPENSE,EXP_0000008,RTGS-Operational material procurement
TXN_00000012,MSME_GJ_0001,2025-09-13 09:08:00,DEBIT,MARKETING,168164.38,-4725768.37,-4893932.75,EXPENSE,EXP_0000014,IMPS-Marketing operational expenditure
TXN_00000013,MSME_GJ_0001,2025-09-15 17:53:00,DEBIT,RAW_MATERIALS,696290.65,-4893932.75,-5590223.4,EXPENSE,EXP_0000005,Cheque-Operational material procurement
TXN_00000014,MSME_GJ_0001,2025-09-16 14:30:00,DEBIT,SOFTWARE,187565.1,-5590223.4,-5777788.5,EXPENSE,EXP_0000011,NetBanking-Software operational expenditure
TXN_00000015,MSME_GJ_0001,2025-09-18 14:30:00,DEBIT,GST_PAYMENT,604051.98,-5777788.5,-6381840.48,GST,GST_0000001,GST Payment Challan 2025-08 GSTR-3B
TXN_00000016,MSME_GJ_0001,2025-09-20 12:31:00,DEBIT,SALARY,1543569.46,-6381840.48,-7925409.94,EXPENSE,EXP_0000015,NEFT-Monthly employee payroll
TXN_00000017,MSME_GJ_0001,2025-09-23 15:14:00,DEBIT,TRANSPORTATION,862175.75,-7925409.94,-8787585.69,EXPENSE,EXP_0000023,UPI-Transportation operational expenditure
TXN_00000018,MSME_GJ_0001,2025-09-24 11:39:00,DEBIT,RENT,514523.15,-8787585.69,-9302108.84,EXPENSE,EXP_0000016,NetBanking-Commercial office/warehouse rent
TXN_00000019,MSME_GJ_0001,2025-09-25 12:49:00,DEBIT,RAW_MATERIALS,1132560.72,-9302108.84,-10434669.56,EXPENSE,EXP_0000019,Cheque-Operational material procurement
TXN_00000020,MSME_GJ_0001,2025-09-26 16:59:00,DEBIT,RAW_MATERIALS,112148.94,-10434669.56,-10546818.5,EXPENSE,EXP_0000022,NEFT-Operational material procurement
TXN_00000021,MSME_GJ_0001,2025-09-27 11:09:00,DEBIT,RAW_MATERIALS,219877.71,-10546818.5,-10766696.21,EXPENSE,EXP_0000020,NEFT-Operational material procurement
TXN_00000022,MSME_GJ_0001,2025-09-29 14:12:00,DEBIT,UTILITIES,1029046.31,-10766696.21,-11795742.52,EXPENSE,EXP_0000017,UPI-Electricity and water utility charges
TXN_00000023,MSME_GJ_0001,2025-10-02 15:53:00,CREDIT,CUSTOMER_PAYMENT,1978645.18,-11795742.52,-9817097.34,INVOICE,INV_0000004,Payment received from Apte-Contractor Trading
TXN_00000024,MSME_GJ_0001,2025-10-07 14:29:00,DEBIT,SOFTWARE,44070.02,-9817097.34,-9861167.36,EXPENSE,EXP_0000025,UPI-Software operational expenditure
TXN_00000025,MSME_GJ_0001,2025-10-08 09:16:00,DEBIT,RAW_MATERIALS,2345704.82,-9861167.36,-12206872.18,EXPENSE,EXP_0000021,NEFT-Operational material procurement
TXN_00000026,MSME_GJ_0001,2025-10-09 13:53:00,DEBIT,RAW_MATERIALS,477400.77,-12206872.18,-12684272.95,EXPENSE,EXP_0000018,Cheque-Operational material procurement
TXN_00000027,MSME_GJ_0001,2025-10-10 13:17:00,DEBIT,MAINTENANCE,294308.25,-12684272.95,-12978581.2,EXPENSE,EXP_0000024,UPI-Maintenance operational expenditure
TXN_00000028,MSME_GJ_0001,2025-10-11 10:47:00,CREDIT,CUSTOMER_PAYMENT,148177.06,-12978581.2,-12830404.14,INVOICE,INV_0000007,Payment received from Setty Inc Distributors
TXN_00000029,MSME_GJ_0001,2025-10-19 14:30:00,DEBIT,GST_PAYMENT,956353.46,-12830404.14,-13786757.6,GST,GST_0000002,GST Payment Challan 2025-09 GSTR-3B
TXN_00000030,MSME_GJ_0001,2025-10-21 11:52:00,DEBIT,SALARY,1592740.91,-13786757.6,-15379498.51,EXPENSE,EXP_0000026,NEFT-Monthly employee payroll
TXN_00000031,MSME_GJ_0001,2025-10-21 16:38:00,CREDIT,CUSTOMER_PAYMENT,727952.05,-15379498.51,-14651546.46,INVOICE,INV_0000006,Payment received from Memon Group Distributors
TXN_00000032,MSME_GJ_0001,2025-10-23 11:31:00,DEBIT,RAW_MATERIALS,1366214.52,-14651546.46,-16017760.98,EXPENSE,EXP_0000032,RTGS-Operational material procurement
TXN_00000033,MSME_GJ_0001,2025-10-25 17:10:00,DEBIT,RENT,530913.64,-16017760.98,-16548674.62,EXPENSE,EXP_0000027,NetBanking-Commercial office/warehouse rent
TXN_00000034,MSME_GJ_0001,2025-10-27 15:31:00,DEBIT,RAW_MATERIALS,1284003.88,-16548674.62,-17832678.5,EXPENSE,EXP_0000031,NEFT-Operational material procurement
TXN_00000035,MSME_GJ_0001,2025-10-30 15:58:00,DEBIT,UTILITIES,1061827.27,-17832678.5,-18894505.77,EXPENSE,EXP_0000028,UPI-Electricity and water utility charges
TXN_00000036,MSME_GJ_0001,2025-11-01 15:30:00,DEBIT,RAW_MATERIALS,1768267.67,-18894505.77,-20662773.44,EXPENSE,EXP_0000030,Cheque-Operational material procurement
TXN_00000037,MSME_GJ_0001,2025-11-02 11:23:00,CREDIT,CUSTOMER_PAYMENT,6523917.89,-20662773.44,-14138855.55,INVOICE,INV_0000002,Payment received from Bhatt-Rajan Trading
TXN_00000038,MSME_GJ_0001,2025-11-02 17:24:00,DEBIT,TRANSPORTATION,275492.75,-14138855.55,-14414348.3,EXPENSE,EXP_0000035,NetBanking-Transportation operational expenditure
TXN_00000039,MSME_GJ_0001,2025-11-04 14:41:00,CREDIT,CUSTOMER_PAYMENT,1017057.47,-14414348.3,-13397290.83,INVOICE,INV_0000001,Payment received from Dutta Ltd Distributors
TXN_00000040,MSME_GJ_0001,2025-11-07 13:20:00,CREDIT,CUSTOMER_PAYMENT,2853818.69,-13397290.83,-10543472.14,INVOICE,INV_0000003,Payment received from Sidhu-Wadhwa Trading
TXN_00000041,MSME_GJ_0001,2025-11-09 11:22:00,DEBIT,MISCELLANEOUS,915561.19,-10543472.14,-11459033.33,EXPENSE,EXP_0000033,UPI-Miscellaneous operational expenditure
TXN_00000042,MSME_GJ_0001,2025-11-09 16:57:00,CREDIT,CUSTOMER_PAYMENT,3944943.21,-11459033.33,-7514090.12,INVOICE,INV_0000009,"Payment received from Cherian, Misra and Tripathi Distributors"
TXN_00000043,MSME_GJ_0001,2025-11-13 16:10:00,CREDIT,CUSTOMER_PAYMENT,8632733.78,-7514090.12,1118643.66,INVOICE,INV_0000008,"Payment received from Lall, Tella and Gokhale Enterprises"
TXN_00000044,MSME_GJ_0001,2025-11-15 17:18:00,DEBIT,TRANSPORTATION,47744.55,1118643.66,1070899.11,EXPENSE,EXP_0000034,IMPS-Transportation operational expenditure
TXN_00000045,MSME_GJ_0001,2025-11-16 10:32:00,DEBIT,RAW_MATERIALS,5794.22,1070899.11,1065104.89,EXPENSE,EXP_0000029,RTGS-Operational material procurement
TXN_00000046,MSME_GJ_0001,2025-11-17 09:11:00,CREDIT,CUSTOMER_PAYMENT,59134.35,1065104.89,1124239.24,INVOICE,INV_0000011,Payment received from Zacharia PLC Trading
TXN_00000047,MSME_GJ_0001,2025-11-17 14:30:00,DEBIT,GST_PAYMENT,699187.85,1124239.24,425051.39,GST,GST_0000003,GST Payment Challan 2025-10 GSTR-3B
TXN_00000048,MSME_GJ_0001,2025-11-17 17:18:00,CREDIT,CUSTOMER_PAYMENT,728074.72,425051.39,1153126.11,INVOICE,INV_0000005,"Payment received from Yadav, Loke and Oak Enterprises"
TXN_00000049,MSME_GJ_0001,2025-11-20 09:05:00,DEBIT,SALARY,1653135.16,1153126.11,-500009.05,EXPENSE,EXP_0000036,NEFT-Monthly employee payroll
TXN_00000050,MSME_GJ_0001,2025-11-24 16:30:00,DEBIT,RENT,551045.05,-500009.05,-1051054.1,EXPENSE,EXP_0000037,NetBanking-Commercial office/warehouse rent
TXN_00000051,MSME_GJ_0001,2025-11-26 10:34:00,DEBIT,MISCELLANEOUS,103241.76,-1051054.1,-1154295.86,EXPENSE,EXP_0000045,IMPS-Miscellaneous operational expenditure
TXN_00000052,MSME_GJ_0001,2025-11-26 14:33:00,DEBIT,SOFTWARE,572823.23,-1154295.86,-1727119.09,EXPENSE,EXP_0000048,NetBanking-Software operational expenditure
TXN_00000053,MSME_GJ_0001,2025-11-26 16:04:00,DEBIT,RAW_MATERIALS,469752.92,-1727119.09,-2196872.01,EXPENSE,EXP_0000042,Cheque-Operational material procurement
TXN_00000054,MSME_GJ_0001,2025-11-28 14:01:00,DEBIT,MISCELLANEOUS,266400.13,-2196872.01,-2463272.14,EXPENSE,EXP_0000047,IMPS-Miscellaneous operational expenditure
TXN_00000055,MSME_GJ_0001,2025-11-28 17:45:00,CREDIT,CUSTOMER_PAYMENT,3500557.2,-2463272.14,1037285.06,INVOICE,INV_0000010,"Payment received from Issac, Dua and Prakash Distributors"
TXN_00000056,MSME_GJ_0001,2025-11-29 14:41:00,DEBIT,UTILITIES,1102090.11,1037285.06,-64805.05,EXPENSE,EXP_0000038,UPI-Electricity and water utility charges
TXN_00000057,MSME_GJ_0001,2025-12-01 10:44:00,DEBIT,RAW_MATERIALS,1141361.07,-64805.05,-1206166.12,EXPENSE,EXP_0000041,RTGS-Operational material procurement
TXN_00000058,MSME_GJ_0001,2025-12-01 11:10:00,DEBIT,RAW_MATERIALS,2324723.42,-1206166.12,-3530889.54,EXPENSE,EXP_0000040,NEFT-Operational material procurement
TXN_00000059,MSME_GJ_0001,2025-12-04 13:27:00,DEBIT,RAW_MATERIALS,76770.34,-3530889.54,-3607659.88,EXPENSE,EXP_0000043,Cheque-Operational material procurement
TXN_00000060,MSME_GJ_0001,2025-12-06 16:16:00,DEBIT,RAW_MATERIALS,435463.67,-3607659.88,-4043123.55,EXPENSE,EXP_0000044,Cheque-Operational material procurement
TXN_00000061,MSME_GJ_0001,2025-12-09 14:27:00,DEBIT,RAW_MATERIALS,143970.67,-4043123.55,-4187094.22,EXPENSE,EXP_0000039,RTGS-Operational material procurement
TXN_00000062,MSME_GJ_0001,2025-12-11 16:51:00,CREDIT,CUSTOMER_PAYMENT,9960936.22,-4187094.22,5773842.0,INVOICE,INV_0000012,Payment received from Naik Group Distributors
TXN_00000063,MSME_GJ_0001,2025-12-13 17:01:00,DEBIT,PROFESSIONAL_FEES,343306.67,5773842.0,5430535.33,EXPENSE,EXP_0000046,NetBanking-Professional Fees operational expenditure
TXN_00000064,MSME_GJ_0001,2025-12-19 14:30:00,DEBIT,GST_PAYMENT,834176.71,5430535.33,4596358.62,GST,GST_0000004,GST Payment Challan 2025-11 GSTR-3B
TXN_00000065,MSME_GJ_0001,2025-12-19 16:23:00,CREDIT,CUSTOMER_PAYMENT,1681425.31,4596358.62,6277783.93,INVOICE,INV_0000017,Payment received from Dave Ltd Enterprises
TXN_00000066,MSME_GJ_0001,2025-12-21 12:59:00,DEBIT,SALARY,1657907.19,6277783.93,4619876.74,EXPENSE,EXP_0000049,NEFT-Monthly employee payroll
TXN_00000067,MSME_GJ_0001,2025-12-23 10:30:00,DEBIT,RAW_MATERIALS,888614.72,4619876.74,3731262.02,EXPENSE,EXP_0000056,RTGS-Operational material procurement
TXN_00000068,MSME_GJ_0001,2025-12-25 17:38:00,DEBIT,RENT,552635.73,3731262.02,3178626.29,EXPENSE,EXP_0000050,NetBanking-Commercial office/warehouse rent
TXN_00000069,MSME_GJ_0001,2025-12-26 11:16:00,CREDIT,CUSTOMER_PAYMENT,8280405.14,3178626.29,11459031.43,INVOICE,INV_0000013,Payment received from Choudhury LLC Distributors
TXN_00000070,MSME_GJ_0001,2025-12-26 15:10:00,DEBIT,RAW_MATERIALS,689273.2,11459031.43,10769758.23,EXPENSE,EXP_0000052,RTGS-Operational material procurement
TXN_00000071,MSME_GJ_0001,2025-12-30 10:17:00,DEBIT,UTILITIES,1105271.46,10769758.23,9664486.77,EXPENSE,EXP_0000051,UPI-Electricity and water utility charges
TXN_00000072,MSME_GJ_0001,2026-01-01 14:31:00,DEBIT,PROFESSIONAL_FEES,546459.57,9664486.77,9118027.2,EXPENSE,EXP_0000057,UPI-Professional Fees operational expenditure
TXN_00000073,MSME_GJ_0001,2026-01-02 15:14:00,DEBIT,MARKETING,9546.25,9118027.2,9108480.95,EXPENSE,EXP_0000061,UPI-Marketing operational expenditure
TXN_00000074,MSME_GJ_0001,2026-01-03 13:57:00,DEBIT,RAW_MATERIALS,1542768.96,9108480.95,7565711.99,EXPENSE,EXP_0000055,Cheque-Operational material procurement
TXN_00000075,MSME_GJ_0001,2026-01-06 10:40:00,DEBIT,MAINTENANCE,274243.39,7565711.99,7291468.6,EXPENSE,EXP_0000059,NetBanking-Maintenance operational expenditure
TXN_00000076,MSME_GJ_0001,2026-01-11 14:33:00,DEBIT,PROFESSIONAL_FEES,252418.93,7291468.6,7039049.67,EXPENSE,EXP_0000058,UPI-Professional Fees operational expenditure
TXN_00000077,MSME_GJ_0001,2026-01-13 17:39:00,DEBIT,RAW_MATERIALS,1347261.68,7039049.67,5691787.99,EXPENSE,EXP_0000054,Cheque-Operational material procurement
TXN_00000078,MSME_GJ_0001,2026-01-14 10:35:00,DEBIT,TRANSPORTATION,206815.24,5691787.99,5484972.75,EXPENSE,EXP_0000060,UPI-Transportation operational expenditure
TXN_00000079,MSME_GJ_0001,2026-01-14 10:41:00,DEBIT,RAW_MATERIALS,137379.17,5484972.75,5347593.58,EXPENSE,EXP_0000053,RTGS-Operational material procurement
TXN_00000080,MSME_GJ_0001,2026-01-15 10:49:00,CREDIT,CUSTOMER_PAYMENT,1106357.79,5347593.58,6453951.37,INVOICE,INV_0000014,Payment received from Khatri-Bhardwaj Distributors
TXN_00000081,MSME_GJ_0001,2026-01-16 14:30:00,DEBIT,GST_PAYMENT,774082.05,6453951.37,5679869.32,GST,GST_0000005,GST Payment Challan 2025-12 GSTR-3B
